word,score
aback,6
abase,3
abate,4
abbey,3
abbot,3
abhor,3
abide,4
abled,3
abode,3
abort,4
about,5
above,3
abuse,2
abyss,4
acorn,3
acrid,4
actor,3
acute,3
adage,3
adapt,2
adept,4
admin,4
admit,3
adobe,4
adopt,3
adore,4
adorn,5
adult,3
affix,3
afire,4
afoot,4
afoul,3
after,4
again,3
agape,3
agate,3
agent,4
agile,4
aging,3
aglow,5
agony,3
agora,4
agree,2
ahead,4
aider,4
aisle,3
alarm,3
album,4
alert,3
algae,5
alibi,4
alien,4
align,3
alike,4
alive,4
allay,2
alley,3
allot,3
allow,4
alloy,4
aloft,4
alone,3
along,3
aloof,4
aloud,3
alpha,4
altar,4
alter,5
amass,4
amaze,4
amber,3
amble,3
amend,4
amiss,4
amity,4
among,5
ample,3
amply,4
amuse,3
angel,5
anger,3
angle,4
angry,4
angst,3
anime,4
ankle,5
annex,4
annoy,4
annul,3
anode,3
antic,4
anvil,4
aorta,3
apart,4
aphid,3
aping,5
apnea,4
apple,4
apply,4
apron,4
aptly,3
arbor,3
ardor,3
arena,6
argue,4
arise,5
armor,5
aroma,2
arose,4
array,4
arrow,3
arson,3
artsy,4
ascot,3
ashen,3
aside,3
askew,3
assay,2
asset,3
atoll,3
atone,3
attic,3
audio,4
audit,3
augur,4
aunty,3
avail,5
avert,3
avian,4
avoid,4
await,3
awake,4
award,3
aware,4
awash,3
awful,3
awoke,4
axial,4
axiom,4
axion,3
azure,4
bacon,3
badge,5
badly,5
bagel,5
baggy,5
baker,3
baler,5
balmy,4
banal,4
banjo,4
barge,4
baron,3
basal,3
basic,3
basil,6
basin,4
basis,2
baste,6
batch,3
bathe,4
baton,5
batty,3
bawdy,4
bayou,2
beach,4
beady,4
beard,4
beast,4
beech,4
beefy,4
befit,4
began,6
begat,3
beget,4
begin,4
begun,4
being,4
belch,3
belie,5
belle,2
belly,2
below,4
bench,3
beret,5
berry,4
berth,3
beset,4
betel,3
bevel,6
bezel,6
bible,3
bicep,4
biddy,4
bigot,3
bilge,5
billy,4
binge,3
bingo,3
biome,4
birch,4
birth,6
bison,4
bitty,4
black,2
blade,6
blame,4
bland,3
blank,4
blare,5
blast,3
blaze,5
bleak,3
bleat,3
bleed,3
bleep,5
blend,4
bless,3
blimp,4
blind,4
blink,4
bliss,3
blitz,4
