,mean
train,3.723974082073434
slant,3.7244060475161986
trace,3.725269978401728
crate,3.7269978401727863
print,3.7369330453563716
trail,3.7399568034557236
plait,3.7403887688984883
dealt,3.741252699784017
plant,3.742548596112311
leapt,3.743844492440605
leant,3.7455723542116632
trice,3.747732181425486
plate,3.748596112311015
crane,3.7503239740820735
slate,3.750755939524838
price,3.7559395248380127
sport,3.7563714902807774
react,3.757235421166307
saint,3.757667386609071
crept,3.7585313174946005
tripe,3.7611231101511877
spent,3.7615550755939524
slept,3.762419006479482
talon,3.7637149028077754
tried,3.7645788336933044
carol,3.7645788336933044
drone,3.765010799136069
least,3.765010799136069
lance,3.765010799136069
crone,3.7663066954643627
shalt,3.7663066954643627
scant,3.7663066954643627
stale,3.7667386609071274
tapir,3.7667386609071274
blast,3.767170626349892
plane,3.7684665226781857
pearl,3.7688984881209504
drain,3.7688984881209504
shale,3.7697624190064793
lapse,3.7697624190064793
prone,3.7706263498920087
coast,3.7706263498920087
trial,3.7710583153347734
salon,3.7714902807775377
stole,3.7719222462203024
trade,3.7727861771058318
pried,3.7727861771058318
split,3.773218142548596
cater,3.773218142548596
trope,3.7736501079913607
petal,3.7740820734341254
alert,3.7745140388768896
slope,3.7749460043196543
parse,3.7758099352051837
cairn,3.776241900647948
scale,3.7766738660907127
torch,3.7771058315334773
spilt,3.777537796976242
droit,3.777537796976242
heist,3.778401727861771
slain,3.778401727861771
paste,3.778401727861771
snort,3.7792656587473004
spite,3.7796976241900646
caste,3.7801295896328293
learn,3.780561555075594
satin,3.780561555075594
truce,3.780561555075594
cried,3.7809935205183587
clear,3.7809935205183587
taper,3.7809935205183587
coral,3.7809935205183587
short,3.7809935205183587
paint,3.781425485961123
clasp,3.781425485961123
pride,3.7818574514038876
spelt,3.7818574514038876
splat,3.7822894168466523
abort,3.782721382289417
table,3.782721382289417
alien,3.7831533477321813
strip,3.7831533477321813
triad,3.783585313174946
brand,3.783585313174946
later,3.783585313174946
cramp,3.7840172786177106
haste,3.7844492440604753
alter,3.7848812095032396
cleat,3.785745140388769
tonal,3.7861771058315337
trend,3.786609071274298
acorn,3.7870410367170626
close,3.7870410367170626
grant,3.787904967602592
clone,3.787904967602592
arson,3.788768898488121
crest,3.788768898488121
heart,3.788768898488121
