,mean
reast,3.8855291576673867
teals,3.896328293736501
least,3.8971922246220303
slate,3.8989200863930886
sport,3.900647948164147
prost,3.9023758099352053
tones,3.903239740820734
trace,3.9049676025917925
crate,3.906263498920086
spent,3.9071274298056156
torcs,3.9071274298056156
clast,3.9071274298056156
slept,3.908423326133909
salet,3.9092872570194386
crost,3.909719222462203
sient,3.911015118790497
trans,3.9123110151187905
scent,3.9131749460043195
plast,3.913606911447084
trios,3.914038876889849
tears,3.914038876889849
stale,3.914038876889849
suent,3.914902807775378
crits,3.9153347732181425
alist,3.9153347732181425
teils,3.9153347732181425
dealt,3.915766738660907
cones,3.916198704103672
saint,3.917062634989201
ports,3.91792656587473
crust,3.91792656587473
slane,3.918790496760259
tenor,3.918790496760259
prats,3.919222462203024
tarse,3.919222462203024
clies,3.919222462203024
spalt,3.920086393088553
perst,3.9205183585313175
leant,3.920950323974082
alcos,3.920950323974082
snirt,3.921814254859611
teras,3.922246220302376
slant,3.922246220302376
tiros,3.923110151187905
reist,3.923110151187905
taels,3.9235421166306694
leats,3.9235421166306694
trice,3.9235421166306694
roist,3.923974082073434
tirls,3.924838012958963
trois,3.924838012958963
tores,3.9257019438444924
neats,3.9257019438444924
plies,3.926133909287257
coast,3.9265658747300214
scone,3.9265658747300214
topes,3.926997840172786
roast,3.9278617710583155
corns,3.9278617710583155
plets,3.9278617710583155
stane,3.9282937365010797
rones,3.9287257019438444
plats,3.9287257019438444
riots,3.9287257019438444
spirt,3.929157667386609
torse,3.929589632829374
tales,3.929589632829374
perts,3.930021598272138
carts,3.930021598272138
crans,3.930021598272138
ciels,3.9308855291576674
trona,3.931317494600432
traps,3.931317494600432
pones,3.9317494600431964
tarns,3.9317494600431964
certs,3.9317494600431964
sprit,3.9317494600431964
spelt,3.9317494600431964
carte,3.9326133909287257
trone,3.9326133909287257
carse,3.9334773218142547
crons,3.9339092872570194
crest,3.934341252699784
trail,3.934341252699784
ronts,3.934341252699784
resat,3.9347732181425488
copse,3.9347732181425488
trods,3.935205183585313
spale,3.935205183585313
clats,3.935205183585313
strop,3.9356371490280777
peals,3.9356371490280777
clons,3.9360691144708424
snoep,3.9360691144708424
peats,3.9360691144708424
tails,3.9360691144708424
antre,3.9360691144708424
crept,3.936501079913607
neals,3.936501079913607
rotes,3.936501079913607
claes,3.9369330453563713
orant,3.9369330453563713
stone,3.9369330453563713
caret,3.9369330453563713
alecs,3.9369330453563713
ropes,3.9369330453563713
arets,3.9369330453563713
scant,3.9369330453563713
repas,3.937365010799136
tries,3.937365010799136
trons,3.937365010799136
pores,3.9377969762419007
clart,3.9377969762419007
cares,3.9377969762419007
deils,3.9377969762419007
sonce,3.9377969762419007
react,3.9377969762419007
ceros,3.9382289416846654
clint,3.9382289416846654
prest,3.9382289416846654
slade,3.9382289416846654
copes,3.9386609071274297
stope,3.9386609071274297
tains,3.9386609071274297
coats,3.9390928725701944
toras,3.9390928725701944
crane,3.9390928725701944
toran,3.9390928725701944
toner,3.9390928725701944
reals,3.9390928725701944
slart,3.9390928725701944
tiles,3.9390928725701944
tronc,3.9390928725701944
codes,3.9390928725701944
trips,3.939524838012959
short,3.939524838012959
perns,3.939524838012959
renos,3.939524838012959
crape,3.939524838012959
lanes,3.939524838012959
ceils,3.939524838012959
close,3.9399568034557237
repos,3.9399568034557237
conte,3.9399568034557237
altos,3.940388768898488
